TestCaseID,TestFunction,TestInputs,ExcpectedValue
1,Addition,"4,5 ",9
2,Addition,"100, 200",300
3,Addition,"100000, 80000000",80100000
4,Addition,"-9, 25",16
5,Addition,"-45, -80",-125
6,Addition,"0, 89",89
7,Addition,None,TypeError
8,Addition,"-0, -100",-100
9,Addition,"-88888, 70000000",69911112
10,Subtraction,"9,8",1
11,Subtraction,"0,1",-1
12,Subtraction,"-1,-2",1
13,Subtraction,"-9, 25",-34
14,Subtraction,"-80,1000",-1080
15,Subtraction,"89,0",89
16,Subtraction,None,TypeError
17,Subtraction,"-0, -100",100
18,Subtraction,"-88888, 70000000",-70088888
19,Multiplication,"9,9",81
20,Multiplication,"0,2",0
21,Multiplication,"-1,-3",3
22,Multiplication,"-9, 24",-216
23,Multiplication,"-80,1001",-80080
24,Multiplication,"89,1",89
25,Multiplication,None,TypeError
26,Multiplication,"-0, -101",0
27,Multiplication,"-88888, 700",-62221600
28,Division,"9,10",0.9
29,Division,"0,3",0
30,Division,"-1,-4",0.25
31,Division,"-9, 23",-0.391304348
32,Division,"-80,1002",-0.079840319
33,Division,"89,2",44.5
34,Division,None,TypeError
35,Division,"-0, -102",0
36,Division,"-88888, 70000002",-0.001269829
37,Division,"3,0",ValueError
